id,name,artists,album,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
5lVMhMFJ6p4IwdLKlISlQW,Fists,Abby Walker,Fists,2024-04-19,0,0.457,0.553,10,-8.534,0,0.0451,0.0863,3.4e-06,0.112,0.315,84.261,audio_features,spotify:track:5lVMhMFJ6p4IwdLKlISlQW,https://api.spotify.com/v1/tracks/5lVMhMFJ6p4IwdLKlISlQW,https://api.spotify.com/v1/audio-analysis/5lVMhMFJ6p4IwdLKlISlQW,238414,4
2d8UxVNhJinc8uat9PoM9y,Who’s Afraid of Little Old Me?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,74,0.606,0.338,0,-10.555,1,0.048,0.315,0.0,0.106,0.238,119.88,audio_features,spotify:track:2d8UxVNhJinc8uat9PoM9y,https://api.spotify.com/v1/tracks/2d8UxVNhJinc8uat9PoM9y,https://api.spotify.com/v1/audio-analysis/2d8UxVNhJinc8uat9PoM9y,334085,4
1xtw1krCR6Dw2KwkXw5z63,The Smallest Man Who Ever Lived,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,75,0.426,0.41,10,-9.083,1,0.0581,0.52,0.0,0.338,0.263,142.377,audio_features,spotify:track:1xtw1krCR6Dw2KwkXw5z63,https://api.spotify.com/v1/tracks/1xtw1krCR6Dw2KwkXw5z63,https://api.spotify.com/v1/audio-analysis/1xtw1krCR6Dw2KwkXw5z63,245542,1
18WFFUIsewmA8g31KAeo3e,The Prophecy,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,76,0.421,0.525,10,-10.359,1,0.0472,0.825,2.67e-06,0.308,0.535,167.927,audio_features,spotify:track:18WFFUIsewmA8g31KAeo3e,https://api.spotify.com/v1/tracks/18WFFUIsewmA8g31KAeo3e,https://api.spotify.com/v1/audio-analysis/18WFFUIsewmA8g31KAeo3e,249807,4
2913xXOVAIDAqxzV2g4VcU,The Bolter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,72,0.455,0.586,0,-7.978,1,0.0492,0.638,0.0,0.131,0.481,183.694,audio_features,spotify:track:2913xXOVAIDAqxzV2g4VcU,https://api.spotify.com/v1/tracks/2913xXOVAIDAqxzV2g4VcU,https://api.spotify.com/v1/audio-analysis/2913xXOVAIDAqxzV2g4VcU,238242,4
5xtxxuIqInrLDSfjA6Co3o,Fiebre (Prod. King DouDou),Bad Gyal,Slow Wine Mixtape,2016-11-11,71,0.421,0.72,7,-6.257,1,0.0571,0.266,0.0,0.225,0.24,97.998,audio_features,spotify:track:5xtxxuIqInrLDSfjA6Co3o,https://api.spotify.com/v1/tracks/5xtxxuIqInrLDSfjA6Co3o,https://api.spotify.com/v1/audio-analysis/5xtxxuIqInrLDSfjA6Co3o,247500,4
0DcfDOaYG8VSZW9ztShlms,Roll My Stone,Arcy Drive,Roll My Stone,2022-07-15,47,0.494,0.858,0,-3.947,1,0.0457,0.0839,0.0,0.108,0.374,98.478,audio_features,spotify:track:0DcfDOaYG8VSZW9ztShlms,https://api.spotify.com/v1/tracks/0DcfDOaYG8VSZW9ztShlms,https://api.spotify.com/v1/audio-analysis/0DcfDOaYG8VSZW9ztShlms,179860,3
3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,Darius Rucker,True Believers,2013-01-01,75,0.535,0.66,9,-7.174,1,0.0297,0.455,0.0,0.135,0.577,148.044,audio_features,spotify:track:3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/tracks/3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/audio-analysis/3xdjjKMcMOFgo1eQrfbogM,298373,4
4DoEHKWh8k6vYDleECQkJx,Los Tontos,"C. Tangana, Kiko Veneno",El Madrileño,2021-02-26,59,0.798,0.715,9,-5.712,0,0.187,0.365,2.08e-06,0.142,0.895,105.995,audio_features,spotify:track:4DoEHKWh8k6vYDleECQkJx,https://api.spotify.com/v1/tracks/4DoEHKWh8k6vYDleECQkJx,https://api.spotify.com/v1/audio-analysis/4DoEHKWh8k6vYDleECQkJx,192787,4
3x6Z690kwrwNJuApTiN2gK,Lola,Pastora,Pastora,2003-04-03,37,0.74,0.912,0,-6.621,1,0.0452,0.0603,0.0842,0.1,0.626,117.007,audio_features,spotify:track:3x6Z690kwrwNJuApTiN2gK,https://api.spotify.com/v1/tracks/3x6Z690kwrwNJuApTiN2gK,https://api.spotify.com/v1/audio-analysis/3x6Z690kwrwNJuApTiN2gK,285800,4
